date,name,tweet,replies_count,retweets_count,likes_count,Classification,Confidence,period,sentiment_numeric,negative,positive,neutral
2021-02-04,Elon Musk,Dogecoin is the peopleâs crypto,18465,97994,533684,Positive,0.474,February,1,0.0,1.0,0.0
2021-02-07,Elon Musk,@itsALLrisky Itâs the most fun crypto!,807,3537,22013,Positive,0.418,February,1,0.0,1.0,0.0
2021-02-09,Elon Musk,@CryptoShrikar @CoinDesk @Tesla @Dan_Z_Palmer ð¤£ð¤£,240,158,3167,Positive,0.594,February,1,0.0,1.0,0.0
2021-02-10,Elon Musk,@freewalletorg Any crypto wallet that wonât give you your private keys should be avoided at all costs,2012,4449,28205,Positive,0.508,February,1,0.0,1.0,0.0
2021-02-19,Elon Musk,"@business Teslaâs action is not directly reflective of my opinion. Having some Bitcoin, which is simply a less dumb form of liquidity than cash, is adventurous enough for an S&amp;P500 company.",922,3228,26473,Positive,0.623,February,1,0.0,1.0,0.0
2021-02-20,Elon Musk,"@PeterSchiff An email saying you have gold is not the same as having gold. You might as well have crypto.  Money is just data that allows us to avoid the inconvenience of barter.  That data, like all data, is subject to latency &amp; error. The system will evolve to that which minimizes both.",2702,9707,81910,Positive,0.478,February,1,0.0,1.0,0.0
2021-02-21,Elon Musk,Heard a rumor some crypto coin was pegging the dollar ð¤£ð¤£,16300,19666,263627,Positive,0.517,February,1,0.0,1.0,0.0
2021-03-02,Elon Musk,Scammers &amp; crypto should get a room,8880,15538,189781,Positive,0.482,March,1,0.0,1.0,0.0
2021-03-12,Elon Musk,BTC (Bitcoin) is an anagram of TBC(The Boring Company) What a coincidence!,11394,16586,235466,Negative,0.604,March,-1,1.0,0.0,0.0
2021-03-24,Elon Musk,"Tesla is using only internal &amp; open source software &amp; operates Bitcoin nodes directly.  Bitcoin paid to Tesla will be retained as Bitcoin, not converted to fiat currency.",4515,19032,173133,Positive,0.643,March,1,0.0,1.0,0.0
2021-04-10,Elon Musk,@memescryptor !,114,92,3986,Positive,0.464,April,1,0.0,1.0,0.0
2021-04-27,Elon Musk,"@stoolpresidente No, you do not. I have not sold any of my Bitcoin. Tesla sold 10% of its holdings essentially to prove liquidity of Bitcoin as an alternative to holding cash on balance sheet.",4338,12235,94927,Positive,0.636,April,1,0.0,1.0,0.0
2021-05-07,Elon Musk,"Cryptocurrency is promising, but please invest with caution!  https://t.co/A4kplcP8Vq",18066,36888,218196,Positive,0.586,May,1,0.0,1.0,0.0
