id,date,name,tweet,replies_count,retweets_count,likes_count
1.4690390177905254e+18,2021-12-10,Elon Musk,@BillyM2k @TheCryptoCPA 😬,561,243,4506
1.4619424510532526e+18,2021-11-20,Elon Musk,@WSBChairman Bitcoin cures cancer,5002,5777,41849
1.4552446103101317e+18,2021-11-01,Elon Musk,"@BillyM2k - Everything on the Internet is true! - Externalize responsibility! - If you are able to do this, buy crypto!",2347,2908,19884
1.4525385928452588e+18,2021-10-25,Elon Musk,@CryptoWhale Sclerotic democracy,666,617,8184
1.4523481267533496e+18,2021-10-24,Elon Musk,@ProTheDoge Lots of people I talked to on the production lines at Tesla or building rockets at SpaceX own Doge. They aren’t financial experts or Silicon Valley technologists. That’s why I decided to support Doge – it felt like the people’s crypto.,4060,7162,33219
1.452334458066149e+18,2021-10-24,Elon Musk,"@Filasophical @ShibaInuHodler Out of curiosity, I acquired some ascii hash strings called “Bitcoin, Ethereum &amp; Doge”. That’s it.   As I’ve said before, don’t bet the farm on crypto! True value is building products &amp; providing services to your fellow human beings, not money in any form.",5448,6230,36329
1.4523320447433236e+18,2021-10-24,Elon Musk,"@itsALLrisky @TeslaGong @mishaboar @DogecoinFdn Possibly. Bitcoin was conceived at a time of relatively low bandwidth &amp; high latency. If both continue to improve substantially, we will reach a point when no second layer is needed.",739,760,5366
1.4521859794318336e+18,2021-10-24,Elon Musk,@BillyM2k Plus crypto scams haha,2067,1319,17163
1.423780661639344e+18,2021-08-07,Elon Musk,"@brian_armstrong @MarkWarner Agreed, this is not the time to pick technology winners or losers in cryptocurrency technology. There is no crisis that compels hasty legislation.",1413,5351,33214
1.420529868404519e+18,2021-07-29,Elon Musk,"@heydave7 We don’t have that many Bitcoin, but it’s close",3319,1305,25526
1.4172070165194547e+18,2021-07-19,Elon Musk,"@jack @BitcoinMagazine @CathieDWood Sure, I have a ton",904,604,12803
1.4172040665522053e+18,2021-07-19,Elon Musk,"@BitcoinMagazine @jack @CathieDWood During this talk, we will sing a cover of The Final Countdown by Europe  https://t.co/7YUXiW8dhd",982,810,10440
1.4082465340939182e+18,2021-06-25,Elon Musk,“That’s not funny!” – Bitcoin maxis,3490,2899,59263
1.4082461966033467e+18,2021-06-25,Elon Musk,How many Bitcoin maxis does it take to screw in a lightbulb?,17227,7767,98454
1.4082444945674568e+18,2021-06-25,Elon Musk,@jack Oh right … Bitcoin haha,848,738,7661
1.4054822216668529e+18,2021-06-17,Elon Musk,@BitcoinMagazine @jespow Based on what data?,2759,820,10278
1.404132183254524e+18,2021-06-13,Elon Musk,"@Cointelegraph This is inaccurate. Tesla only sold ~10% of holdings to confirm BTC could be liquidated easily without moving market.  When there’s confirmation of reasonable (~50%) clean energy usage by miners with positive future trend, Tesla will resume allowing Bitcoin transactions.",9642,10398,53127
1.401091921746006e+18,2021-06-05,Elon Musk,@lexfridman @VitalikButerin @ethereum @Bitcoin @dogecoin @ShibainuCoin @IOHK_Charles @Cardano @chainlink @0xPolygon I pretty much agree with Vitalik,1960,3162,24061
1.4010817308329452e+18,2021-06-05,Elon Musk,@CryptoWhale 👆,1364,822,10746
1.4006693244576932e+18,2021-06-04,Elon Musk,@CryptoWhale Great thread 🤣,991,915,10889
1.4006321348056392e+18,2021-06-04,Elon Musk,@JRNYcrypto Needs laser eyes too,1430,884,9566
1.4006224839890084e+18,2021-06-04,Elon Musk,@JRNYcrypto 🤣🤣,1990,765,17298
1.4006200800907305e+18,2021-06-04,Elon Musk,#Bitcoin 💔  https://t.co/lNnEfMdtJf,55940,21330,211114
1.3969145481672335e+18,2021-05-24,Elon Musk,Spoke with North American Bitcoin miners. They committed to publish current &amp; planned renewable usage &amp; to ask miners WW to do so. Potentially promising.,26041,36730,320269
