Date,Open,High,Low,Close
2021-01-01,28994.01,29600.63,28803.59,29374.15
2021-01-02,29376.46,33155.12,29091.18,32127.27
2021-01-03,32129.41,34608.56,32052.32,32782.02
2021-01-04,32810.95,33440.22,28722.76,31971.91
2021-01-05,31977.04,34437.59,30221.19,33992.43
2021-01-06,34013.61,36879.7,33514.03,36824.36
2021-01-07,36833.87,40180.37,36491.19,39371.04
2021-01-08,39381.77,41946.74,36838.64,40797.61
2021-01-09,40788.64,41436.35,38980.88,40254.55
2021-01-10,40254.22,41420.19,35984.63,38356.44
2021-01-11,38346.53,38346.53,30549.6,35566.66
2021-01-12,35516.36,36568.53,32697.98,33922.96
2021-01-13,33915.12,37599.96,32584.67,37316.36
2021-01-14,37325.11,39966.41,36868.56,39187.33
2021-01-15,39156.71,39577.71,34659.59,36825.37
2021-01-16,36821.65,37864.37,35633.55,36178.14
2021-01-17,36163.65,36722.35,34069.32,35791.28
2021-01-18,35792.24,37299.29,34883.84,36630.08
2021-01-19,36642.23,37755.89,36069.81,36069.81
2021-01-20,36050.11,36378.33,33570.48,35547.75
2021-01-21,35549.4,35552.68,30250.75,30825.7
2021-01-22,30817.63,33811.85,28953.37,33005.76
2021-01-23,32985.76,33360.98,31493.16,32067.64
2021-01-24,32064.38,32944.01,31106.69,32289.38
2021-01-25,32285.8,34802.74,32087.79,32366.39
2021-01-26,32358.61,32794.55,31030.27,32569.85
2021-01-27,32564.03,32564.03,29367.14,30432.55
2021-01-28,30441.04,33858.31,30023.21,33466.1
2021-01-29,34318.67,38406.26,32064.81,34316.39
2021-01-30,34295.94,34834.71,32940.19,34269.52
2021-01-31,34270.88,34288.33,32270.18,33114.36
2021-02-01,33114.58,34638.21,32384.23,33537.18
2021-02-02,33533.2,35896.88,33489.22,35510.29
2021-02-03,35510.82,37480.19,35443.98,37472.09
2021-02-04,37475.1,38592.18,36317.5,36926.06
2021-02-05,36931.55,38225.91,36658.76,38144.31
2021-02-06,38138.39,40846.55,38138.39,39266.01
2021-02-07,39250.19,39621.84,37446.15,38903.44
2021-02-08,38886.83,46203.93,38076.32,46196.46
2021-02-09,46184.99,48003.72,45166.96,46481.1
2021-02-10,46469.76,47145.57,43881.15,44918.18
2021-02-11,44898.71,48463.47,44187.76,47909.33
2021-02-12,47877.03,48745.73,46424.98,47504.85
2021-02-13,47491.2,48047.74,46392.28,47105.52
2021-02-14,47114.51,49487.64,47114.51,48717.29
2021-02-15,48696.54,48875.57,46347.48,47945.06
2021-02-16,47944.46,50341.1,47201.3,49199.87
2021-02-17,49207.28,52533.91,49072.38,52149.01
2021-02-18,52140.97,52474.11,51015.76,51679.8
2021-02-19,51675.98,56113.65,50937.28,55888.13
2021-02-20,55887.34,57505.23,54626.56,56099.52
2021-02-21,56068.57,58330.57,55672.61,57539.94
2021-02-22,57532.74,57533.39,48967.57,54207.32
2021-02-23,54204.93,54204.93,45290.59,48824.43
2021-02-24,48835.09,51290.14,47213.5,49705.33
2021-02-25,49709.08,51948.97,47093.85,47093.85
2021-02-26,47180.46,48370.79,44454.84,46339.76
2021-02-27,46344.77,48253.27,45269.03,46188.45
2021-02-28,46194.02,46716.43,43241.62,45137.77
2021-03-01,45159.5,49784.02,45115.09,49631.24
2021-03-02,49612.11,50127.51,47228.85,48378.99
2021-03-03,48415.81,52535.14,48274.32,50538.24
2021-03-04,50522.31,51735.09,47656.93,48561.17
2021-03-05,48527.03,49396.43,46542.51,48927.3
2021-03-06,48899.23,49147.22,47257.53,48912.38
2021-03-07,48918.68,51384.37,48918.68,51206.69
2021-03-08,51174.12,52314.07,49506.05,52246.52
2021-03-09,52272.97,54824.12,51981.83,54824.12
2021-03-10,54824.01,57258.25,53290.89,56008.55
2021-03-11,55963.18,58091.06,54484.59,57805.12
2021-03-12,57821.22,57996.62,55376.65,57332.09
2021-03-13,57343.37,61683.86,56217.97,61243.08
2021-03-14,61221.13,61597.92,59302.32,59302.32
2021-03-15,59267.43,60540.99,55393.17,55907.2
2021-03-16,55840.79,56833.18,53555.03,56804.9
2021-03-17,56825.83,58969.82,54528.63,58870.89
2021-03-18,58893.08,60116.25,54253.58,57858.92
2021-03-19,57850.44,59498.38,56643.7,58346.65
2021-03-20,58332.26,60031.29,58213.3,58313.64
2021-03-21,58309.91,58767.9,56005.62,57523.42
2021-03-22,57517.89,58471.48,54288.16,54529.15
2021-03-23,54511.66,55985.44,53470.69,54738.94
2021-03-24,54710.49,57262.38,52514.33,52774.26
2021-03-25,52726.75,53392.39,50856.57,51704.16
2021-03-26,51683.01,55137.31,51579.86,55137.31
2021-03-27,55137.57,56568.22,54242.91,55973.51
2021-03-28,55974.94,56610.31,55071.11,55950.75
2021-03-29,55947.9,58342.1,55139.34,57750.2
2021-03-30,57750.13,59447.22,57251.55,58917.69
2021-03-31,58930.28,59930.03,57726.42,58918.83
2021-04-01,58926.56,59586.07,58505.28,59095.81
2021-04-02,59098.88,60267.19,58869.28,59384.31
2021-04-03,59397.41,60110.27,57603.89,57603.89
2021-04-04,57604.84,58913.75,57168.68,58758.56
